symbol,data_days,start_date,end_date,spot_listed_at,perp_listed_at,listing_trade_start,is_listing_censored,avg_volume_usd,corr_zscore_next,return_gross,sharpe_gross,win_gross,dd_gross,return_net,sharpe_net,win_net,dd_net,n_trades,turnover_pct,total_cost,worst_1d_net,worst_5d_net,worst_1d_event_day,tail_loss_ratio,peak_event_day,trough_event_day,peak_to_trough_days,peak_cum_net,is_cost_killed,primary_loss_type,loss_tags,failure_type
DOLO,208,2025-08-27,2026-03-22,2025-08-27T00:00:00+00:00,2025-05-01T00:00:00+00:00,2025-08-27T00:00:00+00:00,False,7631996.78956229,0.1177089979271513,-2.015152750645288,-2.4098004964931192,49.48453608247423,-2.373721871990893,-2.0763527506452872,-2.482389273651787,48.96907216494845,-2.4161218719908923,77,39.69072164948454,0.0612,-0.7201556041818622,-0.963647304395649,138.0,0.46410577590737756,17.0,158.0,141.0,0.0608357395940385,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
FORM,369,2025-03-19,2026-03-22,2025-03-19T00:00:00+00:00,2025-03-19T00:00:00+00:00,2025-03-19T00:00:00+00:00,False,11339403.947787913,0.0640334040896113,-2.989432755171559,-2.230387280356202,44.50704225352113,-3.7560231517491895,-3.078632755171559,-2.295651346675789,44.50704225352113,-3.8288231517491895,112,31.549295774647888,0.0892,-0.4630578490313962,-0.6962416995095027,272.0,0.22615289151976295,49.0,347.0,298.0,0.3244043912104745,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
ALLO,132,2025-11-11,2026-03-22,2025-11-11T00:00:00+00:00,2025-11-11T00:00:00+00:00,2025-11-11T00:00:00+00:00,False,10032243.693534544,0.1052351840633787,-0.8985634495620742,-2.101221971397616,45.76271186440678,-1.1302626259489523,-0.9397634495620754,-2.195613258913062,45.76271186440678,-1.1686626259489532,52,44.06779661016949,0.0412,-0.2712724036731989,-0.471528434289467,101.0,0.5017522595810655,14.0,123.0,109.0,0.1008658227848102,False,テール主導型,方向不一致/テール主導,テール主導型
SAPIEN,137,2025-11-06,2026-03-22,2025-11-06T00:00:00+00:00,2025-08-20T00:00:00+00:00,2025-11-06T00:00:00+00:00,False,6249092.084491972,0.1224143299512678,-1.1609173324475524,-2.0899125902405555,47.15447154471545,-1.537188318968672,-1.200517332447551,-2.1610067461926814,46.34146341463415,-1.569265389289987,50,40.65040650406504,0.0396,-0.7102421180978922,-0.9120852658804041,27.0,0.7597435215873911,25.0,121.0,96.0,0.27305631184435447,False,テール主導型,方向不一致/テール主導,テール主導型
YB,159,2025-10-15,2026-03-22,2025-10-15T00:00:00+00:00,2025-10-10T00:00:00+00:00,2025-10-15T00:00:00+00:00,False,6057523.381087988,-0.0037118339348597,-0.9900879959110112,-2.018543909287334,44.13793103448276,-0.8581332775073527,-1.045687995911012,-2.1306163813914094,44.13793103448276,-0.8869390815309692,70,48.27586206896552,0.0556,-0.1777965334276617,-0.3927300493550414,14.0,0.37557096465747647,14.0,157.0,143.0,-0.1777965334276617,False,初期から苦戦型,じわじわ下落/初期から苦戦,初期から苦戦型
TOWNS,230,2025-08-05,2026-03-22,2025-08-05T00:00:00+00:00,2025-08-05T00:00:00+00:00,2025-08-05T00:00:00+00:00,False,5732812.789055781,0.0854669417134017,-1.3897669717726349,-1.9673510523094768,41.66666666666667,-1.6458927268361163,-1.4597669717726356,-2.065411201390845,40.74074074074074,-1.6962927268361172,88,40.74074074074074,0.07,-0.2320252964426877,-0.4235780257951965,74.0,0.2901682487587963,69.0,229.0,160.0,0.23652575506348203,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
RARE,585,2024-08-15,2026-03-22,2021-10-11T00:00:00+00:00,2024-08-15T00:00:00+00:00,2024-08-15T00:00:00+00:00,False,8136427.922189589,0.1107960215579702,-3.590991648105744,-1.9410656516171905,45.53415061295972,-3.679849706024348,-3.807391648105744,-2.0581665196811363,45.18388791593696,-3.871849706024347,271,47.46059544658494,0.2164,-0.4744048872972404,-0.8663271172491264,206.0,0.2275382196838465,81.0,584.0,503.0,0.0644580579186039,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
MITO,206,2025-08-29,2026-03-22,2025-08-29T00:00:00+00:00,2025-08-28T00:00:00+00:00,2025-08-29T00:00:00+00:00,False,7294990.014689087,0.0433229334861921,-1.3912014695761186,-1.8827543470671573,46.875,-1.669860126266132,-1.4652014695761175,-1.9834247952792616,46.875,-1.729860126266131,93,48.4375,0.074,-0.3650399057961533,-0.7090607321512716,16.0,0.48393394824836145,50.0,205.0,155.0,0.2646586566900137,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
EUL,161,2025-10-13,2026-03-22,2025-10-13T00:00:00+00:00,2025-10-13T00:00:00+00:00,2025-10-13T00:00:00+00:00,False,8322210.537520995,0.0448200483281421,-0.9680202879027332,-1.8518092239947992,44.89795918367347,-1.0127331758496405,-1.017220287902734,-1.9472286273623365,44.89795918367347,-1.0607331758496412,62,42.17687074829932,0.0492,-0.2561881188118811,-0.4489628508774004,123.0,0.44136246220870723,14.0,154.0,140.0,0.0267294146401074,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
AWE,306,2025-05-21,2026-03-22,2025-05-21T00:00:00+00:00,2025-05-21T00:00:00+00:00,2025-05-21T00:00:00+00:00,False,1777081.3141898045,0.1658453368231603,-1.438891123377957,-1.7969366462644152,49.31506849315068,-1.500233343119575,-1.5128911233779585,-1.888919754506676,48.97260273972603,-1.5706333431195765,93,31.84931506849315,0.074,-0.3556810162314749,-0.5293704688587693,274.0,0.34990652048826903,14.0,281.0,267.0,-0.0254225392657734,False,初期から苦戦型,方向不一致/じわじわ下落/初期から苦戦,初期から苦戦型
RENDER,605,2024-07-26,2026-03-22,2024-07-26T00:00:00+00:00,2024-07-26T00:00:00+00:00,2024-07-26T00:00:00+00:00,False,20749785.293035258,0.0540498974885687,-2.9699574922672367,-1.7419724421935503,47.88494077834179,-3.0770408058885605,-3.1751574922672363,-1.8625125558531068,47.71573604060914,-3.2634408058885604,257,43.48561759729272,0.2052,-0.2939721792890263,-0.4993702994460523,441.0,0.15727418267037624,14.0,556.0,542.0,-0.0373194124652639,False,初期から苦戦型,方向不一致/じわじわ下落/初期から苦戦,初期から苦戦型
KERNEL,343,2025-04-14,2026-03-22,2025-04-14T00:00:00+00:00,2025-04-14T00:00:00+00:00,2025-04-14T00:00:00+00:00,False,6694677.471143208,0.0424062884966457,-1.9237777456703744,-1.7304733306945022,47.11246200607903,-2.64000568776983,-2.0385777456703718,-1.8341290280162963,46.80851063829788,-2.702405687769828,144,43.76899696048632,0.1148,-0.2972107910379515,-0.5349047622376606,179.0,0.2623911515632488,66.0,233.0,167.0,0.24186211885399614,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
PNUT,497,2024-11-11,2026-03-22,2024-11-11T00:00:00+00:00,2024-11-11T00:00:00+00:00,2024-11-11T00:00:00+00:00,False,71583842.62379807,0.110566720876658,-3.69291199067898,-1.6872335270897632,45.75569358178054,-4.906148161786788,-3.885311990678975,-1.7748402550795537,45.75569358178054,-5.076548161786783,241,49.896480331262936,0.1924,-0.7446374314090063,-1.1626684957244944,179.0,0.2992471385859834,82.0,495.0,413.0,1.188664876110146,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
WIF,748,2024-03-05,2026-03-22,2024-03-05T00:00:00+00:00,2024-01-18T00:00:00+00:00,2024-03-05T00:00:00+00:00,False,108892531.80682673,0.042489173980401,-4.624812495492691,-1.6304539939924154,46.321525885558586,-5.234629350280204,-4.882012495492685,-1.72163165090021,46.18528610354223,-5.440229350280196,322,43.86920980926431,0.2572,-0.3417398696514593,-0.6686357571435315,584.0,0.13695904255895477,134.0,702.0,568.0,0.29286719746569334,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
METIS,741,2024-03-12,2026-03-22,2024-03-11T00:00:00+00:00,2024-03-12T00:00:00+00:00,2024-03-12T00:00:00+00:00,False,3486349.131525317,0.0538456838326008,-3.5716454846573877,-1.59958123973514,47.04264099037139,-4.571629034418842,-3.8184454846573743,-1.709809458166651,46.49243466299862,-4.683629034418839,309,42.50343878954608,0.2468,-0.2168411365466468,-0.486807198913762,31.0,0.12748831975466632,18.0,383.0,365.0,-0.008539855182843992,False,初期から苦戦型,方向不一致/じわじわ下落/初期から苦戦,初期から苦戦型
CTK,327,2025-04-30,2026-03-22,2020-12-31T00:00:00+00:00,2025-04-30T00:00:00+00:00,2025-04-30T00:00:00+00:00,False,1166009.598666269,0.0557506657843307,-1.1130371335404974,-1.4759930481912504,46.3258785942492,-1.170576566995163,-1.1958371335404971,-1.584988545092409,46.3258785942492,-1.2513765669951633,104,33.22683706070288,0.0828,-0.2771458117890382,-0.4642474190022213,60.0,0.38821960447718407,14.0,315.0,301.0,-0.0371466927976481,False,初期から苦戦型,方向不一致/じわじわ下落/初期から苦戦,初期から苦戦型
PAXG,361,2025-03-27,2026-03-22,2020-12-31T00:00:00+00:00,2025-03-27T00:00:00+00:00,2025-03-27T00:00:00+00:00,False,39799120.405826926,0.1071736139925238,-0.2551161954829397,-0.9688864451196088,48.414985590778095,-0.3720693472362977,-0.3755161954829398,-1.4293834918965311,45.82132564841498,-0.4049875841182568,151,43.51585014409222,0.1204,-0.1010431319534517,-0.18057390313435778,309.0,0.4808684826552632,217.0,360.0,143.0,0.029471388635316974,False,じわじわ下落型,方向不一致/じわじわ下落,じわじわ下落型
COS,539,2024-09-30,2026-03-22,2020-12-31T00:00:00+00:00,2024-09-30T00:00:00+00:00,2024-09-30T00:00:00+00:00,False,2478797.100386244,0.0818497919461307,-2.901244303981985,-1.3216977519873208,47.80952380952381,-3.147623065372417,-3.100844303981977,-1.412808727948362,47.61904761904761,-3.3356230653724084,250,47.61904761904761,0.1996,-1.2736625514403292,-1.606501139579391,530.0,0.5180850704165909,40.0,534.0,494.0,0.1737939887383286,False,テール主導型,方向不一致/テール主導,テール主導型
ZBT,157,2025-10-17,2026-03-22,2025-10-17T00:00:00+00:00,2025-10-17T00:00:00+00:00,2025-10-17T00:00:00+00:00,False,15046137.95394408,0.0849839478193201,-0.9638869038671304,-1.334148920818463,46.15384615384615,-1.4281402521749582,-1.008286903867131,-1.3955205559635584,46.15384615384615,-1.4448960089601188,56,39.16083916083916,0.0443999999999999,-0.7092577114427859,-1.1593027741416038,73.0,1.1497747017195956,34.0,108.0,74.0,0.2846688430480769,False,テール主導型,方向不一致/テール主導,テール主導型
STO,325,2025-05-02,2026-03-22,2025-05-02T00:00:00+00:00,2025-04-12T00:00:00+00:00,2025-05-02T00:00:00+00:00,False,3891807.194669169,0.1653345023772292,-1.5464890323476177,-1.3087473209293357,50.80385852090033,-1.9629087869912192,-1.648489032347617,-1.3954415223185808,50.80385852090033,-2.037489821357436,128,41.157556270096464,0.102,-0.714604969107401,-1.0101085489909658,260.0,0.6127481161051268,101.0,324.0,223.0,0.38900078900981894,False,テール主導型,方向不一致/テール主導,テール主導型
